Proj_Own,Spread,Total,L3_Air_Yards,L3_Targets,L3_Rush_Att,L3_Pass_Air_Yards,L3_Pass_Att,L3_CPOE,L3_WOPR,L3_Target_Share,L3_Air_Yards_Share,L3_Rush_Share,Own
0.5,-7.5,49.5,6,2.33,0,0,0,0,0.14,7.9,2.6,0,0
0.3,4,46.5,15.67,3,0,0,0,0,0.18,9.2,6.1,0,0
0.8,3.5,52.5,17.67,2.67,0,0,0,0,0.17,8.5,6.4,0,0
2.9,6.5,55,21,2.67,0,0,0,0,0.18,8.5,7.5,0,0
2.4,4,52,20,2,0,0,0,0,0.14,6.5,6.5,0,2.56
1.5,-7,49,31.67,3.67,0,0,0,0,0.22,10.4,9.8,0,0
0.5,4.5,46,31.67,4,0,0,0,0,0.24,11.5,10.1,0,0
1.1,-2.5,49.5,22.33,3.67,0,0,0,0,0.21,10.8,7.3,0,0
0.9,-3.5,50,11.67,2,0,0,0,0,0.12,6.3,4.2,0,0
1.5,-1,46,8,1.33,0,0,0,0,0.08,3.9,2.4,0,0
9.8,1,45,43.67,4.33,0.67,0,0,0,0.33,15.7,13.8,2.9,6.66
10.6,3.5,49,66.33,4.33,0.33,0,0,0,0.43,16.9,24.9,2.9,6.67
12,-3,49.5,104.33,6.67,0.33,0,0,0,0.69,27.3,39.9,2.9,13.33
8.6,3.5,52.5,126,7.33,0.33,0,0,0,0.79,29.8,49,3,19.99
18.8,3.5,53,115.33,9.33,1,0,0,0,0.81,33.2,44.8,2.7,35.89
7.8,5.5,47,109.33,9.33,0.67,0,0,0,0.74,31.3,38.8,2.5,2.22
5.4,3,51.5,68,7.33,0.33,0,0,0,0.62,25.7,33.5,2.4,15.55
8.9,7,50,52.67,5.33,0,0,0,0,0.61,25.1,33,0,26.66
11.8,10.5,51,92.67,7.67,0,0,0,0,0.7,28.7,38.7,0,15.55
10.6,7,52.5,102.33,9.67,0,0,0,0,0.71,29.6,37.9,0,16.66
10.5,-5.5,41.5,90.33,9.67,0,0,0,0,0.55,21.4,32.2,0,11.11
4.4,2,46,91.67,10,0,0,0,0,0.56,22.6,32,0,2.22
9.2,5.5,46.5,72,8,0,0,0,0,0.48,19.6,27.2,0,4.44
4.3,7.5,44,58,7.33,0,0,0,0,0.43,19.4,20,0,0
1.6,8,50,51.33,7,0,0,0,0,0.4,19.3,15.2,0,0
0.6,-7.5,43,26.33,5,0,0,0,0,0.31,17.1,8.3,0,0
0.2,-7.5,49.5,23.67,2.33,0,0,0,0,0.18,7.6,9.2,0,0
0.5,3.5,52.5,37.67,3,0,0,0,0,0.25,10,13.5,0,0
